"DTI_CL_INDICADOR","Indicador","DTI_CL_TRIMESTRE_MOVIL","Trimestre Móvil","DTI_CL_REGION","Región","DTI_CL_SEXO","Sexo","Value","Flag Codes","Flags"
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","_T","Total país","_T","Ambos sexos",27.7558875676839,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","_T","Total país","M","Hombres",25.9540549760582,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","_T","Total país","F","Mujeres",30.1096295765459,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL15","Región de Arica y Parinacota","_T","Ambos sexos",36.3094413274016,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL15","Región de Arica y Parinacota","M","Hombres",33.8646715868748,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL15","Región de Arica y Parinacota","F","Mujeres",39.1305953333262,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL01","Región de Tarapacá","_T","Ambos sexos",29.2982373563743,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL01","Región de Tarapacá","M","Hombres",27.7668984109716,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL01","Región de Tarapacá","F","Mujeres",31.5583299042137,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL02","Región de Antofagasta","_T","Ambos sexos",19.5058282168076,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL02","Región de Antofagasta","M","Hombres",16.032747090276,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL02","Región de Antofagasta","F","Mujeres",24.6514318378956,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL03","Región de Atacama","_T","Ambos sexos",29.2200394157721,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL03","Región de Atacama","M","Hombres",24.0726691562271,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL03","Región de Atacama","F","Mujeres",36.5312385208968,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL04","Región de Coquimbo","_T","Ambos sexos",31.6250200782019,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL04","Región de Coquimbo","M","Hombres",31.8737590554529,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL04","Región de Coquimbo","F","Mujeres",31.2894071846709,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL05","Región de Valparaíso","_T","Ambos sexos",29.9482867728601,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL05","Región de Valparaíso","M","Hombres",27.3163247998642,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL05","Región de Valparaíso","F","Mujeres",33.3505817516108,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL13","Región Metropolitana de Santiago","_T","Ambos sexos",26.4237274286742,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL13","Región Metropolitana de Santiago","M","Hombres",24.1460680050705,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL13","Región Metropolitana de Santiago","F","Mujeres",29.3008399687342,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL06","Región del Libertador Gral. Bernardo O'Higgins","_T","Ambos sexos",25.9885210615302,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL06","Región del Libertador Gral. Bernardo O'Higgins","M","Hombres",25.8059366911276,,
"INF_TOI_NOAGRO","Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL06","Región del Libertador Gral. Bernardo O'Higgins","F","Mujeres",26.2353474473748,,
