"DTI_CL_INDICADOR","Indicador","DTI_CL_TRIMESTRE_MOVIL","Trimestre Móvil","DTI_CL_REGION","Región","DTI_CL_SEXO","Sexo","Value","Flag Codes","Flags"
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","_T","Total país","_T","Ambos sexos",2433.84426815182,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","_T","Total país","M","Hombres",1371.85829496374,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","_T","Total país","F","Mujeres",1061.98597318805,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL15","Región de Arica y Parinacota","_T","Ambos sexos",28.62248113264,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL15","Región de Arica y Parinacota","M","Hombres",14.81996535734,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL15","Región de Arica y Parinacota","F","Mujeres",13.8025157753,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL01","Región de Tarapacá","_T","Ambos sexos",59.59997554412,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL01","Región de Tarapacá","M","Hombres",37.76313114736,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL01","Región de Tarapacá","F","Mujeres",21.83684439676,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL02","Región de Antofagasta","_T","Ambos sexos",59.84862499859,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL02","Región de Antofagasta","M","Hombres",33.4322669013,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL02","Región de Antofagasta","F","Mujeres",26.41635809729,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL03","Región de Atacama","_T","Ambos sexos",40.52152699504,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL03","Región de Atacama","M","Hombres",20.57712081437,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL03","Región de Atacama","F","Mujeres",19.94440618067,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL04","Región de Coquimbo","_T","Ambos sexos",122.40829675978,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL04","Región de Coquimbo","M","Hombres",75.0246572084399,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL04","Región de Coquimbo","F","Mujeres",47.3836395513401,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL05","Región de Valparaíso","_T","Ambos sexos",255.584925778779,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL05","Región de Valparaíso","M","Hombres",138.62085823291,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL05","Región de Valparaíso","F","Mujeres",116.96406754587,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL13","Región Metropolitana de Santiago","_T","Ambos sexos",907.747474177051,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL13","Región Metropolitana de Santiago","M","Hombres",468.825679205519,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL13","Región Metropolitana de Santiago","F","Mujeres",438.92179497153,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL06","Región del Libertador Gral. Bernardo O'Higgins","_T","Ambos sexos",110.15555046792,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL06","Región del Libertador Gral. Bernardo O'Higgins","M","Hombres",68.5525624991699,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL06","Región del Libertador Gral. Bernardo O'Higgins","F","Mujeres",41.60298796875,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL07","Región del Maule","_T","Ambos sexos",148.54848011292,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL07","Región del Maule","M","Hombres",95.80575194087,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL07","Región del Maule","F","Mujeres",52.7427281720501,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL16","Región de Ñuble","_T","Ambos sexos",69.25496708235,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL16","Región de Ñuble","M","Hombres",43.57491379115,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL16","Región de Ñuble","F","Mujeres",25.6800532912,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL08","Región del Biobío","_T","Ambos sexos",205.84850361756,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL08","Región del Biobío","M","Hombres",120.2344801692,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL08","Región del Biobío","F","Mujeres",85.61402344836,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL09","Región de La Araucanía","_T","Ambos sexos",201.63379091626,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL09","Región de La Araucanía","M","Hombres",118.71167430596,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL09","Región de La Araucanía","F","Mujeres",82.9221166103001,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL14","Región de Los Ríos","_T","Ambos sexos",70.2127914434201,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL14","Región de Los Ríos","M","Hombres",41.43986040536,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL14","Región de Los Ríos","F","Mujeres",28.77293103806,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL10","Región de Los Lagos","_T","Ambos sexos",124.20110634212,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL10","Región de Los Lagos","M","Hombres",79.5543302980899,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL10","Región de Los Lagos","F","Mujeres",44.64677604403,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL11","Región de Aysén del Gral. Carlos Ibáñez del Campo","_T","Ambos sexos",16.26360460323,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL11","Región de Aysén del Gral. Carlos Ibáñez del Campo","M","Hombres",7.95484967312,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL11","Región de Aysén del Gral. Carlos Ibáñez del Campo","F","Mujeres",8.30875493011,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL12","Región de Magallanes y La Antártica Chilena","_T","Ambos sexos",13.39216818002,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL12","Región de Magallanes y La Antártica Chilena","M","Hombres",6.96619301359,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL12","Región de Magallanes y La Antártica Chilena","F","Mujeres",6.42597516643,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V09","2017 ago-oct","_T","Total país","_T","Ambos sexos",2453.56391789453,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V09","2017 ago-oct","_T","Total país","M","Hombres",1382.35477252071,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V09","2017 ago-oct","_T","Total país","F","Mujeres",1071.20914537385,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V09","2017 ago-oct","CHL15","Región de Arica y Parinacota","_T","Ambos sexos",27.73744370244,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V09","2017 ago-oct","CHL15","Región de Arica y Parinacota","M","Hombres",13.6203736928,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V09","2017 ago-oct","CHL15","Región de Arica y Parinacota","F","Mujeres",14.11707000964,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V09","2017 ago-oct","CHL01","Región de Tarapacá","_T","Ambos sexos",62.22403961503,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V09","2017 ago-oct","CHL01","Región de Tarapacá","M","Hombres",38.51401718102,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V09","2017 ago-oct","CHL01","Región de Tarapacá","F","Mujeres",23.71002243401,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V09","2017 ago-oct","CHL02","Región de Antofagasta","_T","Ambos sexos",61.95522590199,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V09","2017 ago-oct","CHL02","Región de Antofagasta","M","Hombres",34.7745986134,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V09","2017 ago-oct","CHL02","Región de Antofagasta","F","Mujeres",27.18062728859,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V09","2017 ago-oct","CHL03","Región de Atacama","_T","Ambos sexos",43.03718000972,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V09","2017 ago-oct","CHL03","Región de Atacama","M","Hombres",22.71376776428,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V09","2017 ago-oct","CHL03","Región de Atacama","F","Mujeres",20.32341224544,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V09","2017 ago-oct","CHL04","Región de Coquimbo","_T","Ambos sexos",123.53006706007,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V09","2017 ago-oct","CHL04","Región de Coquimbo","M","Hombres",74.71167186899,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V09","2017 ago-oct","CHL04","Región de Coquimbo","F","Mujeres",48.81839519108,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V09","2017 ago-oct","CHL05","Región de Valparaíso","_T","Ambos sexos",258.696584509159,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V09","2017 ago-oct","CHL05","Región de Valparaíso","M","Hombres",141.48234873629,,
"INF_OCU_INF","Ocupados informales (proyecciones base 2002)","2017-V09","2017 ago-oct","CHL05","Región de Valparaíso","F","Mujeres",117.21423577287,,
