"DTI_CL_INDICADOR","Indicador","DTI_CL_TRIMESTRE_MOVIL","Trimestre Móvil","DTI_CL_REGION","Región","DTI_CL_SEXO","Sexo","Value","Flag Codes","Flags"
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","_T","Total país","_T","Ambos sexos",17.2258187080439,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","_T","Total país","M","Hombres",17.7173031840818,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","_T","Total país","F","Mujeres",16.5310278790524,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL15","Región de Arica y Parinacota","_T","Ambos sexos",21.8080658103571,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL15","Región de Arica y Parinacota","M","Hombres",21.3351947003651,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL15","Región de Arica y Parinacota","F","Mujeres",22.3958852605566,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL01","Región de Tarapacá","_T","Ambos sexos",25.9000574546379,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL01","Región de Tarapacá","M","Hombres",26.7751922761182,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL01","Región de Tarapacá","F","Mujeres",24.4724598628613,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL02","Región de Antofagasta","_T","Ambos sexos",13.2972391732673,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL02","Región de Antofagasta","M","Hombres",13.4245490888673,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL02","Región de Antofagasta","F","Mujeres",13.0985488440864,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL03","Región de Atacama","_T","Ambos sexos",18.5646274162735,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL03","Región de Atacama","M","Hombres",16.4072074759428,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL03","Región de Atacama","F","Mujeres",21.7908348434016,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL04","Región de Coquimbo","_T","Ambos sexos",22.1669785954939,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL04","Región de Coquimbo","M","Hombres",24.186040669895,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL04","Región de Coquimbo","F","Mujeres",19.1606392828516,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL05","Región de Valparaíso","_T","Ambos sexos",14.9549731326709,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL05","Región de Valparaíso","M","Hombres",16.1068034030728,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL05","Región de Valparaíso","F","Mujeres",13.3716399593965,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL13","Región Metropolitana de Santiago","_T","Ambos sexos",15.6573714797845,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL13","Región Metropolitana de Santiago","M","Hombres",14.5304287131656,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL13","Región Metropolitana de Santiago","F","Mujeres",17.1051923256284,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL06","Región del Libertador Gral. Bernardo O'Higgins","_T","Ambos sexos",13.6890146749866,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL06","Región del Libertador Gral. Bernardo O'Higgins","M","Hombres",14.0355800418132,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL06","Región del Libertador Gral. Bernardo O'Higgins","F","Mujeres",13.1378771064488,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL07","Región del Maule","_T","Ambos sexos",16.0124881029394,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL07","Región del Maule","M","Hombres",18.1142703649104,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL07","Región del Maule","F","Mujeres",12.5114054705917,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL16","Región de Ñuble","_T","Ambos sexos",20.0596493766633,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL16","Región de Ñuble","M","Hombres",23.5825527976222,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL16","Región de Ñuble","F","Mujeres",14.0723544716488,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL08","Región del Biobío","_T","Ambos sexos",15.8809612052941,,
"INF_TOSI","Tasa de ocupación en el sector informal  (proyecciones base 2002)","2017-V08","2017 jul-sep","CHL08","Región del Biobío","M","Hombres",18.0260488250769,,
