DTI_CL_INDICADOR,Indicador,DTI_CL_TRIMESTRE_MOVIL,Trimestre Móvil,DTI_CL_REGION,Región,DTI_CL_SEXO,Sexo,Value,Flag Codes,Flags
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2017-V08,2017 jul-sep,CHL14,Región de Los Ríos,_T,Ambos sexos,70.2127914434201,,
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2017-V08,2017 jul-sep,CHL14,Región de Los Ríos,M,Hombres,41.43986040536,,
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2017-V08,2017 jul-sep,CHL14,Región de Los Ríos,F,Mujeres,28.77293103806,,
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2017-V09,2017 ago-oct,CHL14,Región de Los Ríos,_T,Ambos sexos,71.61323783047,,
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2017-V09,2017 ago-oct,CHL14,Región de Los Ríos,M,Hombres,41.85749260355,,
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2017-V09,2017 ago-oct,CHL14,Región de Los Ríos,F,Mujeres,29.75574522692,,
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2017-V10,2017 sep-nov,CHL14,Región de Los Ríos,_T,Ambos sexos,69.28011106458,,
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2017-V10,2017 sep-nov,CHL14,Región de Los Ríos,M,Hombres,40.7233257211,,
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2017-V10,2017 sep-nov,CHL14,Región de Los Ríos,F,Mujeres,28.55678534348,,
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2017-V11,2017 oct-dic,CHL14,Región de Los Ríos,_T,Ambos sexos,67.78490963151,,
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2017-V11,2017 oct-dic,CHL14,Región de Los Ríos,M,Hombres,38.43744581047,,
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2017-V11,2017 oct-dic,CHL14,Región de Los Ríos,F,Mujeres,29.34746382104,,
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2017-V12,2017 nov-ene,CHL14,Región de Los Ríos,_T,Ambos sexos,68.94826422135,,
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2017-V12,2017 nov-ene,CHL14,Región de Los Ríos,M,Hombres,39.97108340831,,
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2017-V12,2017 nov-ene,CHL14,Región de Los Ríos,F,Mujeres,28.97718081304,,
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2018-V01,2018 dic-feb,CHL14,Región de Los Ríos,_T,Ambos sexos,69.37850613852,,
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2018-V01,2018 dic-feb,CHL14,Región de Los Ríos,M,Hombres,39.42571765857,,
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2018-V01,2018 dic-feb,CHL14,Región de Los Ríos,F,Mujeres,29.95278847995,,
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2018-V02,2018 ene-mar,CHL14,Región de Los Ríos,_T,Ambos sexos,72.7000448343,,
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2018-V02,2018 ene-mar,CHL14,Región de Los Ríos,M,Hombres,41.51370431163,,
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2018-V02,2018 ene-mar,CHL14,Región de Los Ríos,F,Mujeres,31.18634052267,,
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2018-V03,2018 feb-abr,CHL14,Región de Los Ríos,_T,Ambos sexos,73.81059790019,,
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2018-V03,2018 feb-abr,CHL14,Región de Los Ríos,M,Hombres,39.6619717795,,
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2018-V03,2018 feb-abr,CHL14,Región de Los Ríos,F,Mujeres,34.14862612069,,
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2018-V04,2018 mar-may,CHL14,Región de Los Ríos,_T,Ambos sexos,72.5310424985499,,
INF_OCU_INF,Ocupados informales (proyecciones base 2002),2018-V04,2018 mar-may,CHL14,Región de Los Ríos,M,Hombres,39.56645733558,,
