DTI_CL_INDICADOR,Indicador,DTI_CL_TRIMESTRE_MOVIL,Trimestre Móvil,DTI_CL_REGION,Región,DTI_CL_SEXO,Sexo,Value,Flag Codes,Flags
INF_TOSI,Tasa de ocupación en el sector informal  (proyecciones base 2002),2017-V08,2017 jul-sep,CHL14,Región de Los Ríos,_T,Ambos sexos,22.4054578407436,,
INF_TOSI,Tasa de ocupación en el sector informal  (proyecciones base 2002),2017-V08,2017 jul-sep,CHL14,Región de Los Ríos,M,Hombres,24.4106091719068,,
INF_TOSI,Tasa de ocupación en el sector informal  (proyecciones base 2002),2017-V08,2017 jul-sep,CHL14,Región de Los Ríos,F,Mujeres,19.4381148154556,,
INF_TOSI,Tasa de ocupación en el sector informal  (proyecciones base 2002),2017-V09,2017 ago-oct,CHL14,Región de Los Ríos,_T,Ambos sexos,23.6082888825444,,
INF_TOSI,Tasa de ocupación en el sector informal  (proyecciones base 2002),2017-V09,2017 ago-oct,CHL14,Región de Los Ríos,M,Hombres,25.7007179647624,,
INF_TOSI,Tasa de ocupación en el sector informal  (proyecciones base 2002),2017-V09,2017 ago-oct,CHL14,Región de Los Ríos,F,Mujeres,20.4702477915296,,
INF_TOSI,Tasa de ocupación en el sector informal  (proyecciones base 2002),2017-V10,2017 sep-nov,CHL14,Región de Los Ríos,_T,Ambos sexos,23.5097002638078,,
INF_TOSI,Tasa de ocupación en el sector informal  (proyecciones base 2002),2017-V10,2017 sep-nov,CHL14,Región de Los Ríos,M,Hombres,25.5075758451683,,
INF_TOSI,Tasa de ocupación en el sector informal  (proyecciones base 2002),2017-V10,2017 sep-nov,CHL14,Región de Los Ríos,F,Mujeres,20.4719594186534,,
INF_TOSI,Tasa de ocupación en el sector informal  (proyecciones base 2002),2017-V11,2017 oct-dic,CHL14,Región de Los Ríos,_T,Ambos sexos,22.785965213106,,
INF_TOSI,Tasa de ocupación en el sector informal  (proyecciones base 2002),2017-V11,2017 oct-dic,CHL14,Región de Los Ríos,M,Hombres,24.216515009191,,
