trimestre,region,sexo,nivel_educativo,ocupados_informales,ocupados_formales,ocupados_totales,tasa_informal
2023Q1,Antofagasta,Hombres,Sin educación,1094,1788,2882,0.3795975017349063
2023Q2,Antofagasta,Hombres,Sin educación,1432,2639,4071,0.3517563252272169
2023Q3,Antofagasta,Hombres,Sin educación,2058,3574,5632,0.3654119318181818
2023Q4,Antofagasta,Hombres,Sin educación,6955,7927,14882,0.46734309904582716
2024Q1,Antofagasta,Hombres,Sin educación,2035,3574,5609,0.36280977001247994
2024Q2,Antofagasta,Hombres,Sin educación,4981,7905,12886,0.3865435356200528
2024Q3,Antofagasta,Hombres,Sin educación,3353,3684,7037,0.4764814551655535
2024Q4,Antofagasta,Hombres,Sin educación,4155,6761,10916,0.380633931843166
2023Q1,Antofagasta,Hombres,Básica incompleta,3016,5285,8301,0.3633297193109264
2023Q2,Antofagasta,Hombres,Básica incompleta,8308,10094,18402,0.45147266601456365
2023Q3,Antofagasta,Hombres,Básica incompleta,2262,4230,6492,0.34842883548983367
2023Q4,Antofagasta,Hombres,Básica incompleta,4819,7687,12506,0.38533503918119305
2024Q1,Antofagasta,Hombres,Básica incompleta,3776,5194,8970,0.420958751393534
2024Q2,Antofagasta,Hombres,Básica incompleta,2170,2557,4727,0.4590649460545801
2024Q3,Antofagasta,Hombres,Básica incompleta,1970,3930,5900,0.3338983050847458
2024Q4,Antofagasta,Hombres,Básica incompleta,2299,4631,6930,0.33174603174603173
2023Q1,Antofagasta,Hombres,Básica completa,7029,9028,16057,0.4377530049199726
2023Q2,Antofagasta,Hombres,Básica completa,4310,7110,11420,0.37740805604203154
2023Q3,Antofagasta,Hombres,Básica completa,5152,6605,11757,0.43820702560176916
2023Q4,Antofagasta,Hombres,Básica completa,7510,10177,17687,0.4246056425623339
2024Q1,Antofagasta,Hombres,Básica completa,4372,8989,13361,0.3272210163909887
2024Q2,Antofagasta,Hombres,Básica completa,2954,4158,7112,0.4153543307086614
2024Q3,Antofagasta,Hombres,Básica completa,3882,6955,10837,0.3582172187874873
2024Q4,Antofagasta,Hombres,Básica completa,3250,5011,8261,0.39341484081830286
2023Q1,Antofagasta,Hombres,Media incompleta,5967,8621,14588,0.40903482314230877
2023Q2,Antofagasta,Hombres,Media incompleta,3397,5524,8921,0.3807869072973882
2023Q3,Antofagasta,Hombres,Media incompleta,849,1832,2681,0.3166728832525177
2023Q4,Antofagasta,Hombres,Media incompleta,3625,6300,9925,0.36523929471032746
2024Q1,Antofagasta,Hombres,Media incompleta,1583,2341,3924,0.40341488277268095
2024Q2,Antofagasta,Hombres,Media incompleta,1791,2474,4265,0.41992966002344667
2024Q3,Antofagasta,Hombres,Media incompleta,3977,5330,9307,0.42731277533039647
2024Q4,Antofagasta,Hombres,Media incompleta,2039,5588,7627,0.2673397141733316
2023Q1,Antofagasta,Hombres,Media completa,2384,4095,6479,0.36795801821268714
2023Q2,Antofagasta,Hombres,Media completa,3598,7097,10695,0.33641888733052827
2023Q3,Antofagasta,Hombres,Media completa,7229,6149,13378,0.5403647779937211
2023Q4,Antofagasta,Hombres,Media completa,1264,1526,2790,0.45304659498207883
2024Q1,Antofagasta,Hombres,Media completa,7851,9800,17651,0.4447906634185032
2024Q2,Antofagasta,Hombres,Media completa,7566,12702,20268,0.37329780935464774
2024Q3,Antofagasta,Hombres,Media completa,6722,8400,15122,0.44451792090993253
2024Q4,Antofagasta,Hombres,Media completa,3278,4276,7554,0.4339422822345777
2023Q1,Antofagasta,Hombres,Superior incompleta,1591,2204,3795,0.419235836627141
2023Q2,Antofagasta,Hombres,Superior incompleta,5149,8474,13623,0.37796373779637377
2023Q3,Antofagasta,Hombres,Superior incompleta,3034,4853,7887,0.38468365665018384
2023Q4,Antofagasta,Hombres,Superior incompleta,6123,14270,20393,0.3002500858137596
2024Q1,Antofagasta,Hombres,Superior incompleta,4556,8857,13413,0.3396704689480355
2024Q2,Antofagasta,Hombres,Superior incompleta,3149,4711,7860,0.40063613231552164
2024Q3,Antofagasta,Hombres,Superior incompleta,2130,3907,6037,0.3528242504555243
2024Q4,Antofagasta,Hombres,Superior incompleta,2814,3534,6348,0.44328922495274103
2023Q1,Antofagasta,Hombres,Superior completa,5581,9842,15423,0.3618621539259547
2023Q2,Antofagasta,Hombres,Superior completa,8473,8812,17285,0.4901938096615563
2023Q3,Antofagasta,Hombres,Superior completa,2005,4644,6649,0.3015491051285908
2023Q4,Antofagasta,Hombres,Superior completa,3057,3470,6527,0.4683621878351463
2024Q1,Antofagasta,Hombres,Superior completa,1837,4010,5847,0.3141782110484009
2024Q2,Antofagasta,Hombres,Superior completa,2544,3361,5905,0.4308213378492803
2024Q3,Antofagasta,Hombres,Superior completa,3491,6666,10157,0.3437038495618785
2024Q4,Antofagasta,Hombres,Superior completa,6168,10789,16957,0.3637435867193489
2023Q1,Antofagasta,Mujeres,Sin educación,5252,7325,12577,0.41758766001431186
2023Q2,Antofagasta,Mujeres,Sin educación,3430,3923,7353,0.4664762681898545
2023Q3,Antofagasta,Mujeres,Sin educación,2315,3184,5499,0.4209856337515912
2023Q4,Antofagasta,Mujeres,Sin educación,3574,4203,7777,0.45956024173845955
2024Q1,Antofagasta,Mujeres,Sin educación,2290,2076,4366,0.5245075584058635
2024Q2,Antofagasta,Mujeres,Sin educación,8222,10975,19197,0.4282960879304058
2024Q3,Antofagasta,Mujeres,Sin educación,5275,6843,12118,0.43530285525664303
2024Q4,Antofagasta,Mujeres,Sin educación,5486,9480,14966,0.36656421221435254
2023Q1,Antofagasta,Mujeres,Básica incompleta,4201,5594,9795,0.428892291985707
2023Q2,Antofagasta,Mujeres,Básica incompleta,3916,4880,8796,0.44520236471123237
2023Q3,Antofagasta,Mujeres,Básica incompleta,5056,9083,14139,0.3575924747153264
2023Q4,Antofagasta,Mujeres,Básica incompleta,3538,8011,11549,0.3063468698588622
2024Q1,Antofagasta,Mujeres,Básica incompleta,2265,4302,6567,0.34490634993147556
2024Q2,Antofagasta,Mujeres,Básica incompleta,3279,4810,8089,0.4053653109160588
2024Q3,Antofagasta,Mujeres,Básica incompleta,2570,5282,7852,0.3273051451859399
2024Q4,Antofagasta,Mujeres,Básica incompleta,3706,5609,9315,0.3978529253891573
2023Q1,Antofagasta,Mujeres,Básica completa,1204,1614,2818,0.42725337118523776
2023Q2,Antofagasta,Mujeres,Básica completa,3607,3986,7593,0.4750428025813249
2023Q3,Antofagasta,Mujeres,Básica completa,8049,10359,18408,0.4372555410691004
2023Q4,Antofagasta,Mujeres,Básica completa,4319,7919,12238,0.35291714332407254
2024Q1,Antofagasta,Mujeres,Básica completa,4243,7271,11514,0.36850790342192113
2024Q2,Antofagasta,Mujeres,Básica completa,8189,9518,17707,0.46247246851527646
2024Q3,Antofagasta,Mujeres,Básica completa,4876,7990,12866,0.3789833670138349
2024Q4,Antofagasta,Mujeres,Básica completa,3441,5240,8681,0.396382905195254
2023Q1,Antofagasta,Mujeres,Media incompleta,1277,3069,4346,0.2938334100322135
2023Q2,Antofagasta,Mujeres,Media incompleta,6394,9334,15728,0.4065361139369278
2023Q3,Antofagasta,Mujeres,Media incompleta,8044,11287,19331,0.4161191867984067
2023Q4,Antofagasta,Mujeres,Media incompleta,2586,5724,8310,0.3111913357400722
2024Q1,Antofagasta,Mujeres,Media incompleta,3553,4996,8549,0.41560416422973445
2024Q2,Antofagasta,Mujeres,Media incompleta,3682,5822,9504,0.38741582491582494
2024Q3,Antofagasta,Mujeres,Media incompleta,4924,8196,13120,0.3753048780487805
2024Q4,Antofagasta,Mujeres,Media incompleta,4235,6158,10393,0.40748580775521986
2023Q1,Antofagasta,Mujeres,Media completa,2702,5454,8156,0.3312898479646886
2023Q2,Antofagasta,Mujeres,Media completa,943,1960,2903,0.3248363761625904
2023Q3,Antofagasta,Mujeres,Media completa,5181,6418,11599,0.4466764376239331
2023Q4,Antofagasta,Mujeres,Media completa,5881,9961,15842,0.3712283802550183
2024Q1,Antofagasta,Mujeres,Media completa,7291,11070,18361,0.39709166167420074
2024Q2,Antofagasta,Mujeres,Media completa,4327,7376,11703,0.3697342561736307
2024Q3,Antofagasta,Mujeres,Media completa,7575,6741,14316,0.5291282481139983
2024Q4,Antofagasta,Mujeres,Media completa,6003,10012,16015,0.37483609116453326
2023Q1,Antofagasta,Mujeres,Superior incompleta,1844,3146,4990,0.36953907815631265
2023Q2,Antofagasta,Mujeres,Superior incompleta,4392,12178,16570,0.26505733252866626
2023Q3,Antofagasta,Mujeres,Superior incompleta,2377,3056,5433,0.4375115037732376
2023Q4,Antofagasta,Mujeres,Superior incompleta,3046,6699,9745,0.31257054899948694
2024Q1,Antofagasta,Mujeres,Superior incompleta,4185,4997,9182,0.45578305380091483
2024Q2,Antofagasta,Mujeres,Superior incompleta,4261,7353,11614,0.3668847942138798
