Trimestre Móvil,DTI_CL_SEXO,ocupados_informales,tasa_informal_sector,tasa_informal_noagro,tasa_informal_sector_var_pct,tasa_informal_noagro_var_pct,gap_noagro_sector_pp,DTI_CL_SEXO_F,DTI_CL_SEXO_M,DTI_CL_SEXO__T
2017 ago-oct,F,-0.7106941552179818,-0.020753390236796322,1.6250582720071576,,,1.213631144977244,1.0,0.0,0.0
2017 ago-oct,M,-0.004586569722306909,1.6833276767403533,0.24033560371053778,,,-1.1458855039229652,0.0,1.0,0.0
2017 ago-oct,_T,1.8473933536071716,1.0007730149130822,0.8394194094194753,,,-0.16805517806589942,0.0,0.0,1.0
2017 jul-sep,F,-0.7611469889102632,-0.45806002212849717,1.01649520600531,-0.6447327321141678,-0.6369922403004379,1.108938411207405,1.0,0.0,0.0
2017 jul-sep,M,0.006374830978585839,1.1989961650467786,0.19293028701218792,-0.5761036163351949,-0.06907534469090953,-0.8001670990474847,0.0,1.0,0.0
2017 jul-sep,_T,1.8079019206157823,0.530713423174394,0.5506890454051395,-0.6058192858799689,-0.32780926506557373,-0.0113583485551169,0.0,0.0,1.0
2017 nov-ene,F,-0.7475274282930764,-0.39693799075276465,0.9813525607223356,0.07762484992813405,-0.05286582814963596,1.0350087440949511,1.0,0.0,0.0
2017 nov-ene,M,-0.11363189844212535,1.018104939857974,-0.8982915789418731,-0.23756405911053702,-1.2570227101798608,-1.4619982992541996,0.0,1.0,0.0
2017 nov-ene,_T,1.701514751812258,0.45791845225566397,-0.10555267365984274,-0.11309868492776097,-0.7414019726325674,-0.4376571921007812,0.0,0.0,1.0
2017 oct-dic,F,-0.7313916185371853,-0.11483420126739134,1.2610777307998184,0.41245633180753927,0.28417513882110207,1.019395301345949,1.0,0.0,0.0
2017 oct-dic,M,-0.2201281860354561,1.2335546467138563,-1.2036695681074787,0.2536269063562172,-0.39585143384532195,-1.8563229200254723,0.0,1.0,0.0
2017 oct-dic,_T,1.611154273974821,0.6965246362245726,-0.15619873602213924,0.30497501743823324,-0.07436718296491264,-0.6624979716504827,0.0,0.0,1.0
2017 sep-nov,F,-0.7796184868526284,-0.07263293570375967,1.0041480810095826,0.04540120011249434,-0.28479746199924355,0.7969262279260368,1.0,0.0,0.0
2017 sep-nov,M,-0.10467884417547278,1.6618876995272562,-0.3268678398385442,0.5061439564473209,1.1070565105658292,-1.5469431026666427,0.0,1.0,0.0
2017 sep-nov,_T,1.678376747519358,0.9706605472157497,0.24020341430371037,0.34138600378575545,0.4486092047693528,-0.585883298712872,0.0,0.0,1.0
2018 abr-jun,F,-0.4495364402377151,0.763143628008291,3.540292155479886,1.194329709546487,2.6955740700188078,2.008668566810304,1.0,0.0,0.0
2018 abr-jun,M,-0.16799897507753347,0.6291387310677748,-0.41931101555540307,-1.2131638307641468,-0.12506296090510152,-0.8033955341445019,0.0,1.0,0.0
2018 abr-jun,_T,1.9451386632322112,0.6841122198386403,1.322551079867721,-0.37694285022933394,1.2116386994377573,0.4367797696354473,0.0,0.0,1.0
2018 ago-oct,F,-0.6134165566749282,-0.09653217859986109,2.482281817044688,-1.1275292963449113,-0.966077051677339,1.9047777807520343,1.0,0.0,0.0
2018 ago-oct,M,-0.38323316447607547,0.5472740283574385,-1.0933893966908326,-0.1237825408343093,-0.8216285689119044,-1.2357080987285265,0.0,1.0,0.0
2018 ago-oct,_T,1.566024357396456,0.2789383710826594,0.4825578004156386,-0.5452921984957818,-0.8923471725195058,0.13631862244144066,0.0,0.0,1.0
2018 dic-feb,F,-0.7082995399334066,-0.30351229844640043,1.3359785105938502,-0.3168847864268312,-1.1187555025981395,1.2228671243459217,1.0,0.0,0.0
2018 dic-feb,M,-0.11626662591936245,1.2345848022708055,-0.4902573063022596,0.8978339520413211,0.7491874914040936,-1.3315001762964325,0.0,1.0,0.0
2018 dic-feb,_T,1.7381079126946901,0.6188321578286488,0.2877684962037127,0.45247219028636815,-0.23199271457067225,-0.27432890786748265,0.0,0.0,1.0
2018 ene-mar,F,-0.6388074617638163,0.05060830085732652,1.9795238168945568,0.5143815789997088,0.6559118113875043,1.418711888613468,1.0,0.0,0.0
2018 ene-mar,M,0.020337255561935816,1.4996875648035974,-0.05411831612021289,0.30708923021336726,0.5094607135200981,-1.218508609876817,0.0,1.0,0.0
2018 ene-mar,_T,1.9442038723455792,0.9218964115595376,0.8147619217960554,0.3831252332767805,0.5798325785551817,-0.1242317487686035,0.0,0.0,1.0
2018 feb-abr,F,-0.4376738168964061,0.49514374158292335,3.1036636617746303,0.6164995444846028,1.1046394878256558,1.8975932495389332,1.0,0.0,0.0
2018 feb-abr,M,-0.08785025089744622,1.45164523454332,-0.4395683470645645,-0.07283628604914487,-0.46272654677766967,-1.4647454578731254,0.0,1.0,0.0
2018 feb-abr,_T,2.0371500107536047,1.0588237263429476,1.1284924869314847,0.15740127420091815,0.32482759714112897,-0.000693337165456353,0.0,0.0,1.0
2018 jul-sep,F,-0.578431820428401,-0.16365931093325958,2.9792575020191627,-0.8981794604344843,-0.13028182924689846,2.323699224570386,1.0,0.0,0.0
2018 jul-sep,M,-0.35283874065669546,0.8168239181811118,-0.6948181802978645,-0.7701688828818931,-0.32116883283595454,-1.1538910403145024,0.0,1.0,0.0
2018 jul-sep,_T,1.6314035174623636,0.4121932211234142,0.9193251925891759,-0.8215172187350105,-0.23685887457100596,0.35339514448306336,0.0,0.0,1.0
2018 jun-ago,F,-0.4784383634661727,0.04524300776978132,3.34667542895819,0.29046729194496307,0.32689152774435715,2.4302271272283873,1.0,0.0,0.0
2018 jun-ago,M,-0.31108267500973313,0.7777367002628262,-0.8591164288866797,-0.06627867197049937,-0.21649410917650574,-1.244224295094501,0.0,1.0,0.0
2018 jun-ago,_T,1.7731530400715543,0.4728433537533385,1.030533273460716,0.06602138664701306,0.10429358065376536,0.3876655587769837,0.0,0.0,1.0
2018 mar-may,F,-0.5047374762346349,0.5042019215807563,3.375163413069909,0.6375202182263869,0.010578724707851116,2.090511532348689,1.0,0.0,0.0
2018 mar-may,M,-0.10281166683117567,0.8445448775362961,-0.6769437208930743,0.07012165922317633,0.21088764379421002,-1.1625078500314439,0.0,1.0,0.0
2018 mar-may,_T,1.955124935481646,0.7085323721389315,1.0672774248510766,0.30041851039749357,0.023862788278996436,0.22950534921489935,0.0,0.0,1.0
2018 may-jul,F,-0.4289948282712459,0.15697110218643992,3.67858879025355,-0.4804477533443924,0.2601836533018281,2.5869669536240343,1.0,0.0,0.0
2018 may-jul,M,-0.28383890157857633,0.3835664407308904,-0.8445101448835419,-0.6059061233035551,-0.22018209700500319,-0.9236761567832851,0.0,1.0,0.0
2018 may-jul,_T,1.8498403486976374,0.29010593622312997,1.1609573032135745,-0.5608760351125319,0.08432909924023049,0.6273772493357591,0.0,0.0,1.0
2018 nov-ene,F,-0.6745790193009448,-0.9548184599778627,1.3322856353264578,-1.5747791141274032,-2.1055930295962533,1.732021031579035,1.0,0.0,0.0
2018 nov-ene,M,0.09436933729742873,1.1454729726044452,0.5182082438300232,1.0194087548078177,1.6747572495672172,-0.5184417982453566,0.0,1.0,0.0
2018 nov-ene,_T,1.9824643965439406,0.2819847338288952,0.8715609152213197,-0.027268764584888864,-0.3210921685305724,0.42053658044608583,0.0,0.0,1.0
2018 oct-dic,F,-0.5249638019850601,-0.5538950043390193,2.4843712384420584,0.6489223384259764,1.1866668553198128,2.2657679902825736,1.0,0.0,0.0
2018 oct-dic,M,-0.17499694305092872,0.3800752783028667,-1.0508036222225772,-0.9593412872423847,-1.7556629978878926,-1.072926584206191,0.0,1.0,0.0
2018 oct-dic,_T,1.8627133335114776,-0.006391328623367264,0.5051290639362189,-0.4134670679542079,-0.41093829187697367,0.3771952373766269,0.0,0.0,1.0
2018 sep-nov,F,-0.5365482468037126,-0.34964339227154867,2.799763521888706,0.30171510754345404,0.2882144568904352,2.337619197783375,1.0,0.0,0.0
2018 sep-nov,M,-0.26499121428856326,0.0495553810885813,-0.9135169419041732,-0.46550816159321734,0.15803272622049044,-0.7120133285921927,0.0,1.0,0.0
2018 sep-nov,_T,1.761134617455187,-0.11626489202074379,0.7118834742198027,-0.17371395951230773,0.21422590284213353,0.6158809189741914,0.0,0.0,1.0
2019 abr-jun,F,-0.7033948744433053,-0.14117609546242735,0.9385619941671587,0.29835102462699203,-1.769434425488822,0.8024727633879684,1.0,0.0,0.0
2019 abr-jun,M,-0.17300247648732417,1.100491989438306,-0.5190714945867267,1.4796526972405877,0.47681413382735,-1.2473438042693152,0.0,1.0,0.0
2019 abr-jun,_T,1.6862767276168305,0.573930287966241,0.1522759853857888,0.9898022915145577,-0.6268615763398865,-0.33886863707839343,0.0,0.0,1.0
2019 ago-oct,F,-0.7245075840872571,-0.8659738152974886,1.68614927124034,-1.0762348942480433,0.7877031288116438,1.9229180879256447,1.0,0.0,0.0
2019 ago-oct,M,-0.1393297814490988,0.8030976458637541,-0.4217391833513472,-0.3846179659694638,0.10206635024705428,-0.9419024262218785,0.0,1.0,0.0
